Name,Formula,#CH3,#CH2,#CH,#C,#OH,#C-O-C,#O=C,DBA,#N,#Hal,O:C,M / g/mol,Tm / K,Tg / K,Tg/Tm,Tm/Tg,#S,#branching,#C:#OH,DBA:#C,#CH:#C,#Hal:#C
n-(r-1-phenylethyl)-3-nitrophthalimide,C16H12O4N2,1,0,9,6,0,0,4,12,2,0,0.25,296.0,395.0,289.0,0.73164557,1.366782007,0,15,0.0,2.0,1.5,0.0
"4-acetamido-n-(2,4-dimethylphenyl)-1,8naphthalimide",C21H18O3N2,3,0,8,10,0,0,3,15,2,0,0.1429,346.0,564.0,401.0,0.710992908,1.406483791,0,18,0.0,1.5,0.8,0.0
"n-(1,2,3,4-tetrahydro-1-naphthyl)-tetrachlorophthalimide",C18H11O2NCl4,0,3,5,10,0,0,2,12,1,4,0.1111,413.0,501.0,343.0,0.684630739,1.460641399,0,15,0.0,1.2,0.5,0.4
"1-methyl-1-(p-hydroxyphenyl)-1,2,3,4tetrahydronaphthalene",C17H18O,1,3,8,5,1,0,0,9,0,0,0.0588,238.0,393.0,283.0,0.720101781,1.38869258,0,13,5.0,1.8,1.6,0.0
"1,3-dinitro-4,6-bis-(r-l-phenylethylamino)benzene",C22H22N4O4,2,0,14,6,0,0,3,14,4,0,0.1364,406.0,469.0,316.0,0.673773987,1.484177215,0,20,0.0,2.3333333333333335,2.3333333333333335,0.0
n-(r-1-phenylethyl)-n-(p-nitrophenyl)thiourea,C15H15N3O2S,1,0,10,4,0,0,3,10,3,0,0.2,301.0,386.0,313.0,0.810880829,1.233226837,1,14,0.0,2.5,2.5,0.0
1-menthyl-3-nitrophenylurethane,C17H23N2O4,3,3,8,3,0,1,3,6,2,0,0.2353,319.0,354.0,288.0,0.813559322,1.229166667,0,11,0.0,2.0,2.6666666666666665,0.0
1-(ethoxycarbonyl)ethyl-2-methyl-4-nitrophenylurethane,C14H20N2O6,3,4,3,4,0,2,4,7,2,0,0.4286,312.0,343.0,273.0,0.795918367,1.256410256,0,7,0.0,1.75,0.75,0.0
"1,1,3-trimethyl-3-(p-carboxyphenyl)-indan-5-carboxylic acid",C20H20O4,3,1,7,9,2,0,2,11,0,0,0.2,324.0,565.0,402.0,0.711504425,1.405472637,0,16,4.5,1.2222222222222223,0.7777777777777778,0.0
"2-benzyl-(3,3)spirobi-(benzo[f]chroman)",C32H46O2,0,16,14,2,0,2,0,10,0,0,0.0625,462.0,483.0,339.0,0.701863354,1.424778761,0,16,0.0,5.0,7.0,0.0
n-(1-phenylethyl)-n-(p-nitrophenyl)urea,C15H15N3O3,1,0,10,4,0,0,3,9,3,0,0.2,285.0,444.0,305.0,0.686936937,1.455737705,0,14,0.0,2.25,2.5,0.0
"n-( 1-phenylethyl)-2,4-dinitroaniline",C14H13N3O4,1,0,9,4,0,0,3,10,3,0,0.2143,287.0,387.0,283.0,0.73126615,1.367491166,0,13,0.0,2.5,2.25,0.0
n-(2-tetrahydropyryl)saccharin,C12H13NO4S,0,4,5,3,0,1,3,7,1,0,0.3333,267.0,409.0,279.0,0.682151589,1.465949821,1,8,0.0,2.3333333333333335,1.6666666666666667,0.0
"9,9-bis(p-hydroxyphenyl)fluorene",C25H18O2,0,0,16,9,2,0,0,17,0,0,0.08,350.0,497.0,372.0,0.748490946,1.336021505,0,25,4.5,1.8888888888888888,1.7777777777777777,0.0
"9,9-bis(p-aminophenyl)fluorene",C25H20N2,0,0,16,9,0,0,0,17,2,0,0.0,348.0,501.0,360.0,0.718562874,1.391666667,0,25,0.0,1.8888888888888888,1.7777777777777777,0.0
anilinephthalein,C20H16N2O2,0,0,12,8,0,1,1,12,2,0,0.1,316.0,475.0,353.0,0.743157895,1.345609065,0,20,0.0,1.5,1.5,0.0
"2,2,2-tris(chloromethyl)ethyl-p-nitrophenylurethane",C12H13N2O4Cl3,0,4,4,4,0,1,3,6,2,3,0.3333,354.0,429.0,293.0,0.682983683,1.464163823,0,8,0.0,1.5,1.0,0.75
"2,2,3,3-tetrafluoropropyl-p-nitrophenylurethane",C10H8N2O4F4,0,1,5,4,0,1,3,6,2,4,0.4,296.0,348.0,261.0,0.75,1.333333333,0,9,0.0,1.5,1.25,1.0
n-pentyl-p-nitrophenylurethane,C12H16N2O4,1,4,4,3,0,1,3,6,2,0,0.3333,210.0,365.0,243.0,0.665753425,1.502057613,0,7,0.0,2.0,1.3333333333333333,0.0
budesonide,C25H34O6,3,7,9,6,2,2,2,9,0,0,0.24,430.0,530.0,368.0,0.694339623,1.440217391,0,15,3.0,1.5,1.5,0.0
prednisone,C21H26O5,2,6,6,7,2,0,3,9,0,0,0.2381,358.0,513.0,366.0,0.713450292,1.401639344,0,13,3.5,1.2857142857142858,0.8571428571428571,0.0
hydrocortisone,C21H30O5,2,8,5,6,3,0,2,7,0,0,0.2381,362.0,497.0,359.0,0.722334004,1.384401114,0,11,2.0,1.1666666666666667,0.8333333333333334,0.0
warfarin,C19H16O4,1,1,10,7,1,1,2,12,0,0,0.2105,308.0,435.0,341.0,0.783908046,1.275659824,0,17,7.0,1.7142857142857142,1.4285714285714286,0.0
testosterone,C19H28O2,2,8,5,4,1,0,1,6,0,0,0.1053,288.0,426.0,315.0,0.73943662,1.352380952,0,9,4.0,1.5,1.25,0.0
nandrolone,C18H26O2,1,8,6,3,1,0,1,6,0,0,0.1111,274.0,397.0,310.0,0.780856423,1.280645161,0,9,3.0,2.0,2.0,0.0
simvastatin,C25H38O5,5,6,10,4,1,2,2,7,0,0,0.2,418.0,412.0,309.0,0.75,1.333333333,0,14,4.0,1.75,2.5,0.0
fluorescamin,C17H10O4,0,0,10,7,0,2,2,13,0,0,0.2353,278.0,428.0,299.0,0.698598131,1.431438127,0,17,0.0,1.8571428571428572,1.4285714285714286,0.0
ibuprofen,C13H18O2,3,1,6,3,1,0,1,5,0,0,0.1538,206.0,350.0,228.0,0.651428571,1.535087719,0,9,3.0,1.6666666666666667,2.0,0.0
ketoprofen,C16H14O3,1,0,10,5,1,0,2,10,0,0,0.1875,254.0,368.0,270.0,0.733695652,1.362962963,0,15,5.0,2.0,2.0,0.0
Aripiprazole,C23H27Cl2N3O2,0,10,6,7,0,1,1,11,3,2,0.087,448.0,526.0,363.0,0.690114068,1.449035813,0,13,0.0,1.5714285714285714,0.8571428571428571,0.2857142857142857
Bucindolol,C22H25N3O2,2,3,10,7,1,1,0,12,3,0,0.0909,364.0,459.0,356.0,0.775599129,1.289325843,0,17,7.0,1.7142857142857142,1.4285714285714286,0.0
Danazol,C22H27NO2,2,7,6,7,1,1,0,10,1,0,0.0909,337.0,500.0,352.0,0.704,1.420454545,0,13,7.0,1.4285714285714286,0.8571428571428571,0.0
Bezafibrate,C19H20ClNO4,2,2,8,7,1,1,2,10,1,0,0.2105,362.0,457.0,346.0,0.757111597,1.320809249,0,15,7.0,1.4285714285714286,1.1428571428571428,0.0
Ezetimibe,C24H21F2NO3,0,2,15,7,2,0,1,14,1,2,0.125,409.0,437.0,338.0,0.773455378,1.292899408,0,22,3.5,2.0,2.142857142857143,0.2857142857142857
Glafenine,C19H17ClN2O4,0,2,10,7,2,1,1,12,2,1,0.2105,373.0,437.0,336.0,0.768878719,1.300595238,0,17,3.5,1.7142857142857142,1.4285714285714286,0.14285714285714285
Pimozide,C28H29F2N3O,0,7,14,7,0,0,1,14,3,2,0.0357,461.0,492.0,327.0,0.664634146,1.504587156,0,21,0.0,2.0,2.0,0.2857142857142857
Zolmitriptan,C16H21N3O2,2,4,5,5,0,1,1,8,3,0,0.125,287.0,410.0,322.0,0.785365854,1.273291925,0,10,0.0,1.6,1.0,0.0
Diazepam,C16H13ClN2O,1,1,8,6,0,0,1,7,2,1,0.0625,284.0,404.0,319.0,0.78960396,1.26645768,0,14,0.0,1.1666666666666667,1.3333333333333333,0.16666666666666666
Felodipine,C18H19Cl2NO4,4,1,4,9,0,2,2,9,1,2,0.2222,384.0,420.0,318.0,0.757142857,1.320754717,0,13,0.0,1.0,0.4444444444444444,0.2222222222222222
Nifedipine,C17H18N2O6,4,0,5,8,0,2,4,9,1,0,0.3529,346.0,446.0,318.0,0.713004484,1.402515723,0,13,0.0,1.125,0.625,0.0
Carvedilol,C24H26N2O4,1,4,12,7,1,3,0,13,2,0,0.1667,407.0,390.0,315.0,0.807692308,1.238095238,0,19,7.0,1.8571428571428572,1.7142857142857142,0.0
Loratadine,C22H23ClN2O2,1,7,6,8,0,1,1,12,2,1,0.0909,383.0,409.0,310.0,0.75794621,1.319354839,0,14,0.0,1.5,0.75,0.125
Clemastine,C21H26ClNO,2,5,10,4,0,1,0,9,1,1,0.0476,344.0,451.0,308.0,0.682926829,1.464285714,0,14,0.0,2.25,2.5,0.25
Clotrimazole,C22H17ClN2,0,0,17,5,0,0,0,15,2,1,0.0,345.0,418.0,303.0,0.724880383,1.379537954,0,22,0.0,3.0,3.4,0.2
Physostigmine,C15H21N3O2,4,2,4,5,0,1,1,7,3,0,0.1333,275.0,377.0,293.0,0.777188329,1.28668942,0,9,0.0,1.4,0.8,0.0
Bifonazole,C22H18N2,0,0,18,4,0,0,0,15,2,0,0.0,310.0,424.0,290.0,0.683962264,1.462068966,0,22,0.0,3.75,4.5,0.0
Cinnarizine,C26H28N2,0,5,18,3,0,0,0,14,2,0,0.0,369.0,394.0,280.0,0.710659898,1.407142857,0,21,0.0,4.666666666666667,6.0,0.0
Clofoctol,C21H26Cl2O,5,2,6,8,1,0,0,8,0,2,0.0476,365.0,361.0,269.0,0.745152355,1.342007435,0,14,8.0,1.0,0.75,0.25
Tamoxifen,C26H29NO,3,3,14,6,0,1,0,13,1,0,0.0385,372.0,371.0,263.0,0.708894879,1.410646388,0,20,0.0,2.1666666666666665,2.3333333333333335,0.0
Procaine,C13H20N2O2,2,4,4,3,0,1,1,5,2,0,0.1538,236.0,335.0,234.0,0.698507463,1.431623932,0,7,0.0,1.6666666666666667,1.3333333333333333,0.0
Orlistat,C29H53NO5,4,17,5,3,0,2,3,4,1,0,0.1724,496.0,316.0,228.0,0.721518987,1.385964912,0,8,0.0,1.3333333333333333,1.6666666666666667,0.0
Linaprazan,C21H26N4O2,4,3,5,9,1,0,1,11,4,0,0.0952,367.0,519.0,373.0,0.718689788,1.391420912,0,14,9.0,1.2222222222222223,0.5555555555555556,0.0
Isradipine,C19H21N3O5,5,0,5,9,0,3,2,11,3,0,0.2632,371.0,432.0,316.0,0.731481481,1.367088608,0,14,0.0,1.2222222222222223,0.5555555555555556,0.0
Acemetacin,C21H18ClNO6,2,2,7,10,1,2,3,13,1,1,0.2857,416.0,421.0,310.0,0.736342043,1.358064516,0,17,10.0,1.3,0.7,0.1
Nilutamide,C12H10F3N3O4,2,0,3,7,0,0,4,7,3,3,0.3333,317.0,428.0,306.0,0.714953271,1.39869281,0,10,0.0,1.0,0.42857142857142855,0.42857142857142855
Aceclofenac,C16H13Cl2NO4,0,2,7,7,1,1,2,10,1,2,0.25,354.0,426.0,283.0,0.664319249,1.505300353,0,14,7.0,1.4285714285714286,1.0,0.2857142857142857
Miconazole,C18H14Cl4N2O,0,2,10,6,0,1,0,11,2,4,0.0556,416.0,359.0,274.0,0.763231198,1.310218978,0,16,0.0,1.8333333333333333,1.6666666666666667,0.6666666666666666
Flurbiprofen,C15H13FO2,1,0,9,5,1,0,1,9,0,1,0.1333,244.0,388.0,267.0,0.68814433,1.453183521,0,14,5.0,1.8,1.8,0.2
Fenofibrate,C20H21ClO4,4,0,9,7,0,2,2,10,0,1,0.2,361.0,354.0,254.0,0.717514124,1.393700787,0,16,0.0,1.4285714285714286,1.2857142857142858,0.14285714285714285
