Name,Formula,#CH3,#CH2,#CH,#C,#OH,#C-O-C,#O=C,DBA,#N,#Hal,O:C,M / g/mol,Tm / K,Tg / K,Tg/Tm,Tm/Tg,#S,#branching,#C:#OH,DBA:#C,#CH:#C,#Hal:#C
n-eugenol,C10H12O2,1,2,4,3,1,1,0,5,0,0,0.2,164.0,265.65,192.7,0.725390551,1.378567722,0,7,3.0,1.6666666666666667,1.3333333333333333,0.0
sorbitol,C6H14O6,0,2,4,0,6,0,0,0,0,0,1.0,182.0,378.3833333,269.6666667,0.712681144,1.403152039,0,4,0.0,0.0,0.0,0.0
propylencarbonate,C4H6O3,1,1,1,1,0,2,1,2,0,0,0.75,102.0,222.2333333,159.6666667,0.718464077,1.391858037,0,2,0.0,2.0,1.0,0.0
guajacol,C7H8O2,1,0,4,2,1,1,0,4,0,0,0.2857,124.0,303.0,205.0,0.676567657,1.47804878,0,6,2.0,2.0,2.0,0.0
sucrose,C12H22O11,0,3,8,1,8,3,0,2,0,0,0.9167,342.0,457.67,335.0,0.731968449,1.366179104,0,9,0.125,2.0,8.0,0.0
trehalose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,482.4166667,383.0,0.793919502,1.259573542,0,10,0.0,0.0,0.0,0.0
dioctylphthalat,C24H38O4,2,14,4,4,0,2,2,6,0,0,0.1667,390.0,298.15,183.45,0.615294315,1.625238485,0,8,0.0,1.5,1.0,0.0
naphthylsalyciate,C17H12O3,0,0,11,6,1,1,1,12,0,0,0.1765,264.0,368.0,244.0,0.663043478,1.508196721,0,17,6.0,2.0,1.8333333333333333,0.0
vinylacetate,C4H6O2,1,1,1,1,0,1,1,2,0,0,0.5,86.0,180.0,125.0,0.694444444,1.44,0,2,0.0,2.0,1.0,0.0
xylitol,C5H12O5,0,2,3,0,2,0,0,0,0,0,0.4,104.0,366.9416667,248.1166667,0.676174687,1.478907772,0,3,0.0,0.0,0.0,0.0
methyl(s)(-)lactate,C4H8O3,2,0,1,1,1,1,1,1,0,0,0.75,104.0,396.0,286.0,0.722222222,1.384615385,0,2,1.0,1.0,1.0,0.0
(s)-glycerol acetonate,C6H12O3,2,2,1,1,1,2,0,1,0,0,0.5,132.0,384.0,282.0,0.734375,1.361702128,0,2,1.0,1.0,1.0,0.0
(r)-nopol,C11H18O,2,4,3,2,1,0,0,3,0,0,0.0909,166.0,348.0,277.0,0.795977011,1.25631769,0,5,2.0,1.5,1.5,0.0
3-hydroxy-2-methylpropionate,C5H10O3,2,1,1,1,1,1,1,1,0,0,0.6,118.0,376.0,269.0,0.715425532,1.397769517,0,2,1.0,1.0,1.0,0.0
dianins compound,C18H20O2,3,1,8,6,1,1,0,9,0,0,0.1111,268.0,430.0,299.0,0.695348837,1.43812709,0,14,6.0,1.5,1.3333333333333333,0.0
4-(1-idianyl)phenol,C15H14O,0,2,9,4,1,0,0,9,0,0,0.0667,210.0,363.0,269.0,0.741046832,1.349442379,0,13,4.0,2.25,2.25,0.0
2p-hydroxyphenoxytetrahydropyran,C11H14O3,0,4,5,2,1,2,0,5,0,0,0.2727,194.0,358.0,255.0,0.712290503,1.403921569,0,7,2.0,2.5,2.5,0.0
salicin,C13H18O7,0,2,9,2,5,2,0,5,0,0,0.5385,286.0,468.5,333.25,0.7113127,1.405851463,0,11,0.4,2.5,4.5,0.0
cholesterol,C27H46O,5,11,8,3,1,0,0,5,0,0,0.037,386.0,422.0,332.0,0.786729858,1.271084337,0,11,3.0,1.6666666666666667,2.6666666666666665,0.0
beta-d-glucosepentaacetate,C16H22O11,5,1,5,5,0,6,5,6,0,0,0.6875,390.0,395.5,293.5,0.742098609,1.347529813,0,10,0.0,1.2,1.0,0.0
3-pentadecylcyclohexanone,C21H40O,1,18,1,1,0,0,1,2,0,0,0.0476,308.0,313.0,225.0,0.71884984,1.391111111,0,2,0.0,2.0,1.0,0.0
"4,4-dimethoxytetraphenylmethane",C27H24O2,2,0,18,7,0,2,0,16,0,0,0.0741,380.0,452.0,297.0,0.657079646,1.521885522,0,25,0.0,2.2857142857142856,2.5714285714285716,0.0
lactic acid,C3H6O3,1,0,1,1,2,0,1,1,0,0,1.0,90.0,296.3333333,205.6666667,0.694038245,1.440842787,0,2,0.5,1.0,1.0,0.0
epoxypropane,C3H6O,1,1,1,0,0,1,0,1,0,0,0.3333,58.0,160.2,114.7,0.715980025,1.39668701,0,1,0.0,0.0,0.0,0.0
n-butylacetate,C6H12O2,2,3,0,1,0,1,1,1,0,0,0.3333,116.0,194.3,125.7,0.646937725,1.545743835,0,1,0.0,1.0,0.0,0.0
camphor,C10H16O,3,3,2,3,0,0,1,3,0,0,0.0909,166.0,213.0,156.7,0.735680751,1.359285258,0,5,0.0,1.0,0.6666666666666666,0.0
dibutylphthalat,C16H22O4,2,6,4,2,0,2,2,6,0,0,0.2857,250.0,238.15,177.32,0.744572748,1.343052109,0,6,0.0,3.0,2.0,0.0
o-cresol,C13H12O,0,1,9,3,1,0,0,8,0,0,0.0769,184.0,325.6,220.1,0.675982801,1.479327578,0,12,3.0,2.6666666666666665,3.0,0.0
isopropranol,C3H8O,2,0,1,0,1,0,0,0,0,0,0.3333,60.0,185.25,119.9,0.647233468,1.545037531,0,1,0.0,0.0,0.0,0.0
"1,3-butanediol",C4H10O2,1,2,1,0,2,0,0,0,0,0,0.5,90.0,262.76,175.5,0.66790988,1.497207977,0,1,0.0,0.0,0.0,0.0
"2,3-butanediol",C4H10O2,2,0,2,0,2,0,0,0,0,0,0.5,90.0,291.3,195.1,0.669756265,1.493080472,0,2,0.0,0.0,0.0,0.0
m-cresol,C7H8O,1,0,4,1,1,0,0,4,0,0,0.1667,94.0,285.195,198.3,0.695313733,1.438199697,0,5,1.0,4.0,4.0,0.0
mephenesin,C10H14O3,1,2,5,2,2,1,0,4,0,0,0.3,182.0,340.0,247.0,0.726470588,1.376518219,0,7,1.0,2.0,2.5,0.0
estradiol-17b-cypionate,C26H36O3,1,12,8,5,1,1,1,9,0,0,0.1154,396.0,425.0,309.0,0.727058824,1.375404531,0,13,5.0,1.8,1.6,0.0
norethylnodrel,C20H26O2,1,9,4,6,1,0,1,8,0,0,0.1,298.0,453.0,324.0,0.715231788,1.398148148,0,10,6.0,1.3333333333333333,0.6666666666666666,0.0
beta-estradiol-3-benzoate,C25H28O3,1,6,12,6,1,1,1,12,0,0,0.12,376.0,472.0,336.0,0.711864407,1.404761905,0,18,6.0,2.0,2.0,0.0
ursodeoxycholic acid,C24H40O4,3,10,8,3,3,0,1,5,0,0,0.1667,392.0,477.0,378.0,0.79245283,1.261904762,0,11,1.0,1.6666666666666667,2.6666666666666665,0.0
deoxycholic acid,C24H40O4,3,10,8,3,3,0,1,5,0,0,0.1667,392.0,447.0,377.0,0.843400447,1.185676393,0,11,1.0,1.6666666666666667,2.6666666666666665,0.0
cholic acid,C24H40O5,3,9,9,3,4,0,1,5,0,0,0.2083,408.0,473.0,393.0,0.830866808,1.203562341,0,12,0.75,1.6666666666666667,3.0,0.0
lactose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,494.3333333,382.8833333,0.774544842,1.291080834,0,10,0.0,0.0,0.0,0.0
diethylhexylphthalat,C24H38O4,4,10,6,4,0,2,2,6,0,0,0.1667,390.0,218.15,184.0,0.843456337,1.185597826,0,10,0.0,1.5,1.5,0.0
cholecalciterol,C27H44O,4,12,7,4,1,0,0,6,0,0,0.037,384.0,352.0,296.0,0.840909091,1.189189189,0,11,4.0,1.5,1.75,0.0
diethylstilbestrol,C18H20O2,2,2,8,6,2,0,0,9,0,0,0.1111,268.0,439.0,308.0,0.701594533,1.425324675,0,14,3.0,1.5,1.3333333333333333,0.0
dehydrocholic acid,C24H34O5,3,9,6,6,1,0,4,8,0,0,0.2083,402.0,502.0,348.0,0.693227092,1.442528736,0,12,6.0,1.3333333333333333,1.0,0.0
cellobiose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,507.4333333,367.7666667,0.724758589,1.379769781,0,10,0.0,0.0,0.0,0.0
17b-estradiol,C18H24O2,1,6,7,4,2,0,0,7,0,0,0.1111,272.0,445.0,354.0,0.795505618,1.257062147,0,11,2.0,1.75,1.75,0.0
aspirin,C9H8O4,1,0,4,4,1,1,1,6,0,0,0.3333,164.0,408.0,243.0,0.595588235,1.679012346,0,8,4.0,1.5,1.0,0.0
methyltestosterone,C20H30O2,3,8,4,5,1,0,1,6,0,0,0.1,302.0,421.0,270.0,0.641330166,1.559259259,0,9,5.0,1.2,0.8,0.0
progesterone,C21H30O2,3,8,5,5,0,0,2,7,0,0,0.0952,314.0,399.0,279.0,0.69924812,1.430107527,0,10,0.0,1.4,1.0,0.0
citric acid,C6H8O7,0,2,0,4,4,0,3,3,0,0,1.1667,192.0,427.0,283.5083333,0.663953942,1.506128568,0,4,1.0,0.75,0.0,0.0
ergocalciferol,C28H44O,5,9,10,4,1,0,0,7,0,0,0.0357,396.0,376.0,290.0,0.771276596,1.296551724,0,14,4.0,1.75,2.5,0.0
n-nonanol,C9H20O,1,8,0,0,1,0,0,0,0,0,0.1111,144.0,268.15,153.0,0.57057617,1.752614379,0,0,0.0,0.0,0.0,0.0
2-pentanol,C5H12O,2,2,1,0,1,0,0,0,0,0,0.2,88.0,200.15,140.0,0.699475393,1.429642857,0,1,0.0,0.0,0.0,0.0
3-pentanol,C5H12O,2,2,1,0,1,0,0,0,0,0,0.2,88.0,204.15,143.0,0.700465344,1.427622378,0,1,0.0,0.0,0.0,0.0
2-octanol,C8H18O,2,5,1,0,1,0,0,0,0,0,0.125,130.0,241.55,166.0,0.687228317,1.455120482,0,1,0.0,0.0,0.0,0.0
4-hetpanol,C7H16O,2,4,1,0,1,0,0,0,0,0,0.1429,116.0,231.95,166.0,0.715671481,1.397289157,0,1,0.0,0.0,0.0,0.0
4-decanol,C10H22O,2,7,1,0,1,0,0,0,0,0,0.1,158.0,262.15,181.0,0.690444402,1.448342541,0,1,0.0,0.0,0.0,0.0
3-methyl-4-octanol,C9H20O,3,4,2,0,1,0,0,0,0,0,0.1111,144.0,221.51,180.0,0.812604397,1.230611111,0,2,0.0,0.0,0.0,0.0
2-methyl-2-propanol,C4H10O,3,1,0,1,1,0,0,0,0,0,0.2,88.0,299.9466667,172.6666667,0.575657895,1.737142857,0,1,1.0,0.0,0.0,0.0
2-methyl-2-propanol,C4H10O,3,0,0,1,1,0,0,0,0,0,0.25,74.0,299.9466667,172.6666667,0.575657895,1.737142857,0,1,1.0,0.0,0.0,0.0
2-methyl-2-butanol,C5H12O,3,1,0,1,1,0,0,0,0,0,0.2,88.0,264.05,154.0,0.583222874,1.71461039,0,1,1.0,0.0,0.0,0.0
2-methyl-2-heptanol,C8H18O,3,4,0,1,1,0,0,0,0,0,0.125,130.0,222.75,178.0,0.799102132,1.251404494,0,1,1.0,0.0,0.0,0.0
4-methyl-4-heptanol,C8H18O,3,4,0,1,1,0,0,0,0,0,0.125,130.0,191.15,170.0,0.889353911,1.124411765,0,1,1.0,0.0,0.0,0.0
6-methyl-3-heptanol,C8H18O,3,3,2,0,1,0,0,0,0,0,0.125,130.0,213.15,159.0,0.745953554,1.340566038,0,2,0.0,0.0,0.0,0.0
3-methyl-3-heptanol,C8H18O,3,4,0,1,1,0,0,0,0,0,0.125,130.0,190.15,151.0,0.794109913,1.259271523,0,1,1.0,0.0,0.0,0.0
6-methyl-1-heptanol,C8H18O,2,5,1,0,1,0,0,0,0,0,0.125,130.0,167.15,140.0,0.837571044,1.193928571,0,1,0.0,0.0,0.0,0.0
diethylether,C4H10O,2,2,0,0,0,1,0,0,0,0,0.25,74.0,156.95,92.55,0.589678241,1.695840086,0,0,0.0,0.0,0.0,0.0
diisopropylether,C6H14O,4,0,2,0,0,1,0,0,0,0,0.1667,102.0,187.75,101.35,0.539813582,1.852491367,0,2,0.0,0.0,0.0,0.0
acetone,C3H6O,2,0,0,1,0,0,1,1,0,0,0.3333,58.0,178.45,100.15,0.561221631,1.781827259,0,1,0.0,1.0,0.0,0.0
methylethylketone,C4H8O,2,1,0,1,0,0,1,1,0,0,0.25,72.0,186.51,111.0,0.595142352,1.68027027,0,1,0.0,1.0,0.0,0.0
methylisobutylketone,C6H12O,3,1,0,1,0,0,1,1,0,0,0.2,86.0,189.15,119.85,0.633624108,1.578222778,0,1,0.0,1.0,0.0,0.0
ethyl acetate,C4H8O2,2,1,0,1,0,1,1,1,0,0,0.5,88.0,189.375,116.825,0.61689769,1.621014338,0,1,0.0,1.0,0.0,0.0
benzaldehyde,C7H6O,0,0,6,1,0,0,1,5,0,0,0.1429,106.0,216.05,149.0,0.689655172,1.45,0,7,0.0,5.0,6.0,0.0
acetophenone,C8H8O,1,0,5,2,0,0,1,5,0,0,0.125,120.0,293.65,161.0,0.548271752,1.823913043,0,7,0.0,2.5,2.5,0.0
"1,3,5-trinaphthylbenzene",C36H24,0,0,24,12,0,0,0,25,0,0,0.0,456.0,472.0,342.0,0.724576271,1.380116959,0,36,0.0,2.0833333333333335,2.0,0.0
decalin,C10H18,0,8,2,0,0,0,0,2,0,0,0.0,138.0,233.15,137.4,0.58932018,1.696870451,0,2,0.0,0.0,0.0,0.0
3-methoxy-1-butanol,C5H12O2,2,2,1,0,1,1,0,0,0,0,0.4,104.0,214.0,146.1,0.68271028,1.464750171,0,1,0.0,0.0,0.0,0.0
"2,4-pentanediol",C5H12O2,2,1,2,0,2,0,0,0,0,0,0.4,104.0,318.15,205.9,0.647179004,1.545167557,0,2,0.0,0.0,0.0,0.0
2-methyl-1-butanol,C5H12O,2,2,1,0,1,0,0,0,0,0,0.2,88.0,175.5,127.3,0.725356125,1.37863315,0,1,0.0,0.0,0.0,0.0
2-ethyl-1-butanol,C6H14O,2,3,1,0,1,0,0,0,0,0,0.1667,102.0,221.15,131.0,0.592358128,1.688167939,0,1,0.0,0.0,0.0,0.0
3-methyl-2-pentanol,C6H14O,3,1,2,0,1,0,0,0,0,0,0.1667,102.0,206.5,150.9,0.730750605,1.368455931,0,2,0.0,0.0,0.0,0.0
4-methyl-2-pentanol,C6H14O,3,1,2,0,1,0,0,0,0,0,0.1667,102.0,183.15,157.1,0.857766858,1.16581795,0,2,0.0,0.0,0.0,0.0
5-methyl-2-hexanol,C7H16O,3,2,2,0,1,0,0,0,0,0,0.1429,116.0,199.0,152.1,0.764321608,1.30834977,0,2,0.0,0.0,0.0,0.0
3-methyl-4-hexanol,C7H16O,3,2,2,0,1,0,0,0,0,0,0.1429,116.0,199.0,163.0,0.819095477,1.220858896,0,2,0.0,0.0,0.0,0.0
4-methyl-3-heptanol,C8H18O,3,3,2,0,1,0,0,0,0,0,0.125,130.0,180.575,161.8,0.896026582,1.116038319,0,2,0.0,0.0,0.0,0.0
3-methyl-4-heptanol,C8H18O,3,3,2,0,1,0,0,0,0,0,0.125,130.0,212.0,173.0,0.816037736,1.225433526,0,2,0.0,0.0,0.0,0.0
6-methyl-2-heptanol,C8H18O,3,3,2,0,1,0,0,0,0,0,0.125,130.0,188.0,159.0,0.845744681,1.182389937,0,2,0.0,0.0,0.0,0.0
4-methyl-1-heptanol,C8H18O,2,5,1,0,1,0,0,0,0,0,0.125,130.0,212.0,138.0,0.650943396,1.536231884,0,1,0.0,0.0,0.0,0.0
2-methyl-1-heptanol,C8H18O,2,5,1,0,1,0,0,0,0,0,0.125,130.0,161.15,151.0,0.937015203,1.067218543,0,1,0.0,0.0,0.0,0.0
2-methyl-3-heptanol,C8H18O,3,3,2,0,1,0,0,0,0,0,0.125,130.0,188.15,158.0,0.839755514,1.190822785,0,2,0.0,0.0,0.0,0.0
3-methylpentane,C6H14,3,2,1,0,0,0,0,0,0,0,0.0,86.0,110.25,80.66666667,0.731670446,1.366735537,0,1,0.0,0.0,0.0,0.0
isopropylbenzene,C9H12,2,0,6,1,0,0,0,4,0,0,0.0,120.0,177.078,125.86,0.71076023,1.406944224,0,7,0.0,4.0,6.0,0.0
diisobutylphthalat,C16H22O4,4,2,6,4,0,2,1,6,0,0,0.1875,262.0,209.15,189.55,0.906287354,1.103402796,0,10,0.0,1.5,1.5,0.0
"1,4-pentanediol",C5H12O2,1,3,1,0,2,0,0,0,0,0,0.4,104.0,253.0,175.8,0.69486166,1.439135381,0,1,0.0,0.0,0.0,0.0
"1,2-pentanediol",C5H12O2,1,3,1,0,2,0,0,0,0,0,0.4,104.0,253.0,181.0,0.71541502,1.397790055,0,1,0.0,0.0,0.0,0.0
"1,5-hexanediol",C6H14O2,1,4,1,0,2,0,0,0,0,0,0.3333,118.0,264.0,179.4,0.679545455,1.471571906,0,1,0.0,0.0,0.0,0.0
iso-eugenol,C10H12O2,2,0,5,3,1,1,0,5,0,0,0.2,164.0,294.15,220.1,0.748257692,1.336437983,0,8,3.0,1.6666666666666667,1.6666666666666667,0.0
2-methyltetrahydrofuran,C5H10O,1,3,1,0,0,1,0,1,0,0,0.2,86.0,137.0,91.0,0.664233577,1.505494505,0,1,0.0,0.0,0.0,0.0
menthol,C10H20O,3,3,4,0,1,0,0,1,0,0,0.1,156.0,389.0,306.0,0.786632391,1.27124183,0,4,0.0,0.0,0.0,0.0
n-butylbenzene,C10H14,1,3,5,1,0,0,0,4,0,0,0.0,134.0,185.15,124.5,0.672427761,1.487148594,0,6,0.0,4.0,5.0,0.0
cyclohexanol,C6H12O,0,5,1,0,1,0,0,1,0,0,0.1667,100.0,173.0,150.5,0.869942197,1.149501661,0,1,0.0,0.0,0.0,0.0
cycloheptanol,C7H14O,0,6,1,0,1,0,0,1,0,0,0.1429,114.0,280.0,140.0,0.5,2.0,0,1,0.0,0.0,0.0,0.0
cycloheptane,C7H14,0,7,0,0,0,0,0,1,0,0,0.0,98.0,265.0,83.0,0.313207547,3.192771084,0,0,0.0,0.0,0.0,0.0
"2,3-dimethylbutane",C6H14,4,0,2,0,0,0,0,0,0,0,0.0,86.0,145.0,76.0,0.524137931,1.907894737,0,2,0.0,0.0,0.0,0.0
1-phenyl-1-propanol,C9H12O,1,1,6,1,1,0,0,4,0,0,0.1111,136.0,263.43,195.9,0.743651065,1.344716692,0,7,1.0,4.0,6.0,0.0
"1,2-butanediol",C4H10O2,1,2,1,0,2,0,0,0,0,0,0.5,90.0,241.0,178.9,0.742323651,1.347121297,0,1,0.0,0.0,0.0,0.0
chenodeoxycholic acid,C24H40O4,3,10,8,3,3,0,1,5,0,0,0.1667,392.0,436.0,371.0,0.850917431,1.175202156,0,11,1.0,1.6666666666666667,2.6666666666666665,0.0
cis-2-heptene,C7H14,2,3,2,0,0,0,0,1,0,0,0.0,98.0,164.15,93.0,0.56655498,1.765053763,0,2,0.0,0.0,0.0,0.0
2-methyl-1-pentanol,C6H14O,2,3,1,0,1,0,0,0,0,0,0.1667,102.0,203.0,143.0,0.704433498,1.41958042,0,1,0.0,0.0,0.0,0.0
"2,2-dimethyl-1-butanol",C6H14O,3,2,0,1,1,0,0,0,0,0,0.1667,102.0,258.15,158.0,0.612047259,1.633860759,0,1,1.0,0.0,0.0,0.0
"2,2-dimethyl-1-pentanol",C7H16O,3,3,0,1,1,0,0,0,0,0,0.1429,116.0,243.0,166.0,0.683127572,1.463855422,0,1,1.0,0.0,0.0,0.0
"2,2-dimethyl-1-hexanol",C8H18O,3,4,0,1,1,0,0,0,0,0,0.125,130.0,243.0,173.0,0.711934156,1.404624277,0,1,1.0,0.0,0.0,0.0
2-hexanol,C6H14O,2,3,1,0,1,0,0,0,0,0,0.1667,102.0,253.15,148.0,0.584633616,1.710472973,0,1,0.0,0.0,0.0,0.0
3-hexanol,C6H14O,2,3,1,0,1,0,0,0,0,0,0.1667,102.0,279.0,153.0,0.548387097,1.823529412,0,1,0.0,0.0,0.0,0.0
3-heptanol,C7H16O,2,4,1,0,1,0,0,0,0,0,0.1429,116.0,203.15,158.0,0.777750431,1.285759494,0,1,0.0,0.0,0.0,0.0
2-heptanol,C7H16O,2,4,1,0,1,0,0,0,0,0,0.1429,116.0,214.0,155.0,0.724299065,1.380645161,0,1,0.0,0.0,0.0,0.0
4-nonanol,C9H20O,2,6,1,0,1,0,0,0,0,0,0.1111,144.0,237.0,175.0,0.738396624,1.354285714,0,1,0.0,0.0,0.0,0.0
3-methyl-4-nonanol,C10H22O,3,5,2,0,1,0,0,0,0,0,0.1,158.0,265.7,186.0,0.700037636,1.428494624,0,2,0.0,0.0,0.0,0.0
2-methyl-2-pentanol,C6H14O,3,2,0,1,1,0,0,0,0,0,0.1667,102.0,170.15,163.0,0.957978254,1.043865031,0,1,1.0,0.0,0.0,0.0
2-methyl-2-hexanol,C7H16O,3,3,0,1,1,0,0,0,0,0,0.1429,116.0,243.0,173.0,0.711934156,1.404624277,0,1,1.0,0.0,0.0,0.0
4-methy-4-octanol,C9H20O,3,5,0,1,1,0,0,0,0,0,0.1111,144.0,254.43,178.0,0.699603034,1.429382022,0,1,1.0,0.0,0.0,0.0
4-methyl-4-nonanol,C10H22O,3,6,0,1,1,0,0,0,0,0,0.1,158.0,272.0,185.0,0.680147059,1.47027027,0,1,1.0,0.0,0.0,0.0
4-methyl-undecane,C12H26,3,8,1,0,0,0,0,0,0,0,0.0,170.0,206.5,135.0,0.653753027,1.52962963,0,1,0.0,0.0,0.0,0.0
n-butanol,C4H10O,1,3,0,0,1,0,0,0,0,0,0.25,74.0,184.1166667,113.8633333,0.618430343,1.616996985,0,0,0.0,0.0,0.0,0.0
xylose,C5H10O5,0,1,3,1,5,0,1,1,0,0,1.2,166.0,423.3333333,282.6666667,0.667716536,1.497641509,0,4,0.2,1.0,3.0,0.0
fructose,C6H12O6,0,2,3,1,5,1,0,1,0,0,1.0,180.0,373.63,280.8,0.751545647,1.330591168,0,4,0.2,1.0,3.0,0.0
n-heptanol,C7H16O,1,6,0,0,1,0,0,0,0,0,0.1429,116.0,240.0,141.15,0.588125,1.70031881,0,0,0.0,0.0,0.0,0.0
n-octanol,C8H18O,1,7,0,0,1,0,0,0,0,0,0.125,130.0,258.35,149.85,0.580027095,1.724057391,0,0,0.0,0.0,0.0,0.0
3-methyl-1-butanol,C5H12O,2,2,1,0,1,0,0,0,0,0,0.2,88.0,155.95,123.2,0.789996794,1.265827922,0,1,0.0,0.0,0.0,0.0
"1,2,4-butanetriol",C4H10O3,0,3,1,0,3,0,0,0,0,0,0.75,106.0,253.15,200.7,0.792810587,1.261335326,0,1,0.0,0.0,0.0,0.0
benzene,C6H6,0,0,6,0,0,0,0,4,0,0,0.0,78.0,279.15,118.0,0.422711804,2.365677966,0,6,0.0,0.0,0.0,0.0
"2,4,6-trimethylheptane",C10H22,5,2,3,0,0,0,0,0,0,0,0.0,142.0,219.16,126.0,0.574922431,1.739365079,0,3,0.0,0.0,0.0,0.0
santonin,C15H18O3,3,2,5,5,0,1,2,7,0,0,0.2,246.0,434.0,290.0,0.668202765,1.496551724,0,10,0.0,1.4,1.0,0.0
maltotetraose,C24H42O21,0,4,20,0,14,7,0,4,0,0,0.875,666.0,484.0,411.0,0.849173554,1.177615572,0,20,0.0,0.0,0.0,0.0
malic acid,C4H6O5,0,1,1,2,3,0,2,2,0,0,1.25,134.0,405.0,255.0,0.62962963,1.588235294,0,3,0.6666666666666666,1.0,0.5,0.0
pinonic acid,C10H16O3,3,2,2,3,1,0,2,3,0,0,0.3,184.0,376.68,265.0,0.70351492,1.421433962,0,5,3.0,1.0,0.6666666666666666,0.0
"2-methylbutane-1,2,3,4-tetraol",C5H12O4,1,2,1,1,4,0,0,0,0,0,0.8,136.0,363.0,241.5,0.665289256,1.50310559,0,2,0.25,0.0,1.0,0.0
"1,2-isopooh",C5H10O3,1,2,1,1,2,1,0,1,0,0,0.6,118.0,220.0,142.0,0.645454545,1.549295775,0,2,0.5,1.0,1.0,0.0
trans-beta-iepox,C5H10O3,1,2,1,1,2,1,0,1,0,0,0.6,118.0,220.0,167.14,0.759727273,1.316261816,0,2,0.5,1.0,1.0,0.0
pinic acid,C9H14O4,2,2,2,3,2,0,2,3,0,0,0.4444,186.0,364.32,268.1,0.735891524,1.358895934,0,5,1.5,1.0,0.6666666666666666,0.0
"2,4-dimethyl-3-pentanol",C7H16O,4,0,3,0,1,0,0,0,0,0,0.1429,116.0,203.15,193.0,0.950036919,1.052590674,0,3,0.0,0.0,0.0,0.0
erythritol,C4H10O4,0,2,2,0,4,0,0,0,0,0,1.0,122.0,394.0,229.65,0.58286802,1.715654256,0,2,0.0,0.0,0.0,0.0
"2-ethyl-1,3-hexanediol",C816O2,2,4,2,0,2,0,0,0,0,0,0.25,146.0,272.0,208.9,0.768014706,1.302058401,0,2,0.0,0.0,0.0,0.0
"1,2,7-heptanetriol",C7H16O3,0,6,1,0,3,0,0,0,0,0,0.4286,148.0,336.0,200.3,0.596130952,1.677483774,0,1,0.0,0.0,0.0,0.0
"1,2,6-hexanetriol",C6H14O3,0,5,1,0,3,0,0,0,0,0,0.5,134.0,300.0,204.15,0.6805,1.469507715,0,1,0.0,0.0,0.0,0.0
mannitol,C6H14O6,0,2,4,0,6,0,0,0,0,0,1.0,182.0,437.0,282.95,0.647482838,1.544442481,0,4,0.0,0.0,0.0,0.0
"2-methyl-1,3-propanediol",C4H10O2,1,2,1,0,2,0,0,0,0,0,0.5,90.0,242.0,167.0,0.690082645,1.449101796,0,1,0.0,0.0,0.0,0.0
3-methyl-2-butanol,C5H12O,3,0,2,0,1,0,0,0,0,0,0.2,88.0,222.0,154.0,0.693693694,1.441558442,0,2,0.0,0.0,0.0,0.0
"3-methyl-1,3,5-pentanetriol",C6H14O3,1,4,0,1,3,0,0,0,0,0,0.5,134.0,342.0,205.7,0.601461988,1.662615459,0,1,0.3333333333333333,0.0,0.0,0.0
"1,3-propanediol",C3H8O2,0,3,0,0,2,0,0,0,0,0,0.6667,76.0,246.5,147.5,0.598377282,1.671186441,0,0,0.0,0.0,0.0,0.0
arabitol,C5H12O5,0,2,3,0,5,0,0,0,0,0,1.0,152.0,375.0,261.0,0.696,1.436781609,0,3,0.0,0.0,0.0,0.0
ribitol,C5H12O5,0,2,3,0,5,0,0,0,0,0,1.0,152.0,369.0,252.0,0.682926829,1.464285714,0,3,0.0,0.0,0.0,0.0
threitol,C4H10O4,0,2,2,0,4,0,0,0,0,0,1.0,122.0,363.0,226.3,0.623415978,1.6040654,0,2,0.0,0.0,0.0,0.0
altrose,C6H12O6,0,1,4,1,5,0,1,1,0,0,1.0,180.0,377.0,283.5,0.75198939,1.329805996,0,5,0.2,1.0,4.0,0.0
arabinose,C5H10O5,0,1,3,1,4,0,1,1,0,0,1.0,150.0,433.0,274.0,0.632794457,1.580291971,0,4,0.25,1.0,3.0,0.0
galactose,C6H12O6,0,1,4,1,5,0,1,1,0,0,1.0,180.0,439.0,304.0,0.692482916,1.444078947,0,5,0.2,1.0,4.0,0.0
gentiobiose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,482.0,366.5,0.760373444,1.315143247,0,10,0.0,0.0,0.0,0.0
isomalt,C12H24O11,0,3,9,0,9,2,0,1,0,0,0.9167,344.0,420.75,307.0,0.729649436,1.370521173,0,9,0.0,0.0,0.0,0.0
isomaltose,C12H22O11,0,2,10,0,8,3,0,2,0,0,0.9167,342.0,498.15,351.0,0.704607046,1.419230769,0,10,0.0,0.0,0.0,0.0
isomaltulose,C12H22O11,0,3,8,1,8,3,0,2,0,0,0.9167,342.0,396.15,342.1,0.863561782,1.157994738,0,9,0.125,2.0,8.0,0.0
kojibiose,C12H22O11,0,2,10,0,8,2,1,2,0,0,0.9167,342.0,461.0,359.0,0.778741866,1.284122563,0,10,0.0,0.0,0.0,0.0
lactulose,C12H22O11,0,3,8,1,8,3,0,2,0,0,0.9167,342.0,442.0,367.4,0.831221719,1.203048449,0,9,0.125,2.0,8.0,0.0
